0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:11 +0900] "GET /kopo/resources/js/uni.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:11 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:12 +0900] "GET /kopo/ HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:12 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:12 +0900] "GET /kopo/board/article/7/list HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:13 +0900] "GET /kopo/board/article/7/1/view HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:45 +0900] "GET /kopo/ HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:46:45 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/ HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/resources/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/resources/js/uni.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:47:27 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
